police_narrative,n_chars,n_words,year,report_category,main_situation_class
To biler i kryds,16,4,2016,Anmsuh,4
P1kørte mod træ.,16,3,2016,Exuh,0
P2 påkørt af P1.,16,4,2016,Anmsuh,1
FUH,3,1,2016,Mskduh,7
P1 kørte mod syd.,17,4,2016,Anmsuh,0
Parkeringsuheld!,16,1,2016,Exuh,7
Bil på taget. P01,17,4,2016,Anmsuh,0
P-KORT. Eneuheld.,17,2,2016,Exuh,0
Sidespejl kørt af.,18,3,2016,Anmsuh,2
FUH flugt.,10,2,2016,Anmsuh,0
Vigepligtsuheld.,16,1,2016,Anmsuh,6
"Peugeot 206,",12,2,2016,Anmsuh,0
Forsætlig påkørsel.,19,2,2016,Anmsuh,1
FUH-FLUGT,9,1,2016,Anmsuh,0
AMB FUH,7,2,2016,Exuh,1
FUH solouheld,13,2,2016,Exuh,0
FUH DRAB MC,11,3,2016,Pskduh,0
"FUH, 2 lastbiler",16,3,2016,Anmsuh,5
P-Kort,6,1,2016,Exuh,5
FUH - P-kort,12,3,2016,Exuh,8
FUH fastklemt,13,2,2016,Mskduh,2
Materiel FUH flugt.,19,3,2016,Exuh,7
FUH,3,1,2016,Anmsuh,0
P1påkørte part 2.,17,3,2016,Exuh,1
Højresvingende,14,1,2016,Anmsuh,3
"FUH, vigepligt",14,2,2016,Anmsuh,6
FUH fastklemt.,14,2,2016,Anmsuh,0
P01,3,1,2016,Mskduh,6
Via 112: AMB. FUH.,18,4,2016,Pskduh,5
FUH.,4,1,2016,Anmsuh,4
P-kort,6,1,2016,Exuh,1
fodgænger påkørt,16,2,2016,Pskduh,8
P-kort,6,1,2016,Exuh,1
P-kort.,7,1,2016,Exuh,1
FUH Fanø,8,2,2016,Mskduh,0
"Part 1,",7,2,2016,Anmsuh,0
Bil på taget..,14,3,2016,Exuh,1
AMB-FUH,7,1,2017,Pskduh,2
FUH,3,1,2017,Exuh,1
Bil mod knallert,16,3,2017,Anmsuh,4
FUH/bil-cyklist,15,1,2017,Anmsuh,4
FUH,3,1,2017,Anmsuh,5
Part,4,1,2017,Exuh,1
FUH. amb. sendt.,16,3,2017,Mskduh,7
Materielt fuh.,14,2,2017,Exuh,1
Ulykke.,7,1,2017,Anmsuh,5
FUH ved at,10,3,2017,Mskduh,4
tekst mangler,13,2,2017,Anmsuh,1
P-kort,6,1,2017,Exuh,3
Solouheld.,10,1,2017,Exuh,0
FUH.,4,1,2017,Anmsuh,6
MC - varevogn.,14,3,2017,Pskduh,4
FUH cykel og bil,16,4,2017,Anmsuh,4
FUH med 4 parter,16,4,2017,Mskduh,1
Se konferende sag.,18,3,2017,Mskduh,3
FUH bil fodgænger,17,3,2017,Anmsuh,8
FUH - vigepligt,15,3,2017,Anmsuh,6
Ej udfyldt,10,2,2017,Mskduh,0
Uheld ml. 2 biler,17,4,2017,Anmsuh,1
2 biler kørt sammen,19,4,2017,Anmsuh,2
Ej udfyldt,10,2,2017,Anmsuh,3
P-kort,6,1,2017,Exuh,2
Bil i havn.,11,3,2018,Pskduh,0
FUH: bil mod træ.,17,4,2018,Exuh,0
VIA 112: FUH-AMB.,17,3,2018,Exuh,1
FUH,3,1,2018,Exuh,1
Bil påkørt bagfra,17,3,2018,Pskduh,1
Amb-FUH - vigepligt,19,3,2018,Mskduh,5
FUH,3,1,2018,Anmsuh,6
Via 112 - FUH,13,4,2018,Mskduh,5
P1 havde påkørt P2.,19,4,2018,Anmsuh,0
Fuh-flugt,9,1,2018,Anmsuh,4
FUH MC - Bil,12,4,2018,Pskduh,6
FUH,3,1,2018,Exuh,1
P01 påkørt P02.,15,3,2018,Exuh,0
FUH bilist/cyklist,18,2,2018,Anmsuh,6
Færdselsuheld.,14,1,2018,Anmsuh,3
Knallert væltet.,16,2,2018,Anmsuh,0
P01blev påkørt.,15,2,2018,Anmsuh,7
FUH-flugt.,10,1,2018,Anmsuh,7
P02 påkørt af P01..,19,4,2018,Anmsuh,6
"Personbil,",10,1,2018,Anmsuh,0
4 biler kørt sammen,19,4,2018,Exuh,1
FUH-flugt.,10,1,2018,Anmsuh,1
Uheld ej beskrevet,18,3,2018,Anmsuh,3
"FUH, vigepligt",14,2,2018,Anmsuh,6
FUH,3,1,2018,Pskduh,8
Brand i knallert.,17,3,2018,Anmsuh,5
112: AMB - FUH,14,4,2019,Pskduh,8
FUH,3,1,2019,Exuh,0
P-kort,6,1,2019,Exuh,8
FUH,3,1,2019,Anmsuh,0
P-kort.,7,1,2019,Exuh,0
MC vs BIL.,10,3,2019,Anmsuh,6
FUH 2 biler,11,3,2019,Anmsuh,1
FUH rundkørsel,14,2,2019,Anmsuh,6
AMB-FUH,7,1,2019,Pskduh,4
Part 1,6,2,2019,Exuh,1
MC væltet,9,2,2019,Pskduh,2
Bil mod MC,10,3,2019,Pskduh,5
FUH,3,1,2019,Anmsuh,6
P-kort,6,1,2019,Exuh,1
P-KORT,6,1,2019,Exuh,7
Parkeringsskade.,16,1,2019,Anmsuh,7
Færdselsuheld.,14,1,2019,Mskduh,1
P-kort.,7,1,2019,Exuh,0
P-KORT,6,1,2019,Exuh,7
P-kort.,7,1,2019,Exuh,7
P-kort,6,1,2019,Exuh,7
P-kort,6,1,2019,Exuh,1
P-kort.,7,1,2019,Exuh,1
P-KORT,6,1,2019,Exuh,7
FUH / § 53/54,13,4,2019,Anmsuh,1
P-KORT.,7,1,2019,Exuh,2
FUH. P- kort,12,3,2019,Exuh,1
P-kort. solo fuh,16,3,2019,Exuh,0
Ikke beskrevet.,15,2,2019,Anmsuh,7
P-kort,6,1,2019,Exuh,8
Cyklist ramt,12,2,2019,Anmsuh,3
Part,4,1,2019,Pskduh,5
Person imod bil,15,3,2019,Anmsuh,8
P-KORT.,7,1,2019,Exuh,7
Part 1 påkørt hegn.,19,4,2019,Exuh,0
Via 112: AMB FUH,16,4,2020,Anmsuh,6
"""Ingen tekst""/JBN",17,2,2020,Mskduh,0
AMB FUH,7,2,2020,Anmsuh,6
FUH FLUGT.,10,2,2020,Anmsuh,7
"""Ingen tekst/JBN""",17,2,2020,Mskduh,7
cyklist ramt af bil,19,4,2020,Exuh,2
FUH solo,8,2,2020,Anmsuh,0
Via 112: Fuh narko,18,4,2020,Mskduh,4
Ingen uheldstekst,17,2,2020,Anmsuh,0
P-Kort,6,1,2020,Exuh,1
p-kort,6,1,2020,Exuh,1
P-KORT,6,1,2020,Anmsuh,1
Sigtede kørte mod,17,3,2020,Anmsuh,0
"Part 1 Sort peugot,",19,4,2020,Exuh,0
FUH-flugt.,10,1,2020,Anmsuh,1
"""Ingen tekst"" /JBN",18,3,2020,Anmsuh,7
"Part 1,",7,2,2020,Mskduh,6
112: FUH 2 biler.,17,4,2020,Anmsuh,6
...,3,1,2020,Anmsuh,1
Via 112 - 2 biler,17,5,2020,Anmsuh,3
FUH.,4,1,2020,Mskduh,6
FUH.,4,1,2020,Pskduh,4
Person,6,1,2021,Exuh,7
Mand ramt af bil.,17,4,2021,Pskduh,8
FUH,3,1,2021,Anmsuh,2
P-KORT,6,1,2021,Exuh,7
Via 112. AMB-FUH,16,3,2021,Anmsuh,6
FUH,3,1,2021,Anmsuh,2
112 AMB FUH,11,3,2021,Anmsuh,0
P-kort.,7,1,2021,Exuh,8
SoloFUH,7,1,2021,Mskduh,0
Via 112 - FUH.,14,4,2021,Exuh,1
FUH AMB - 2 biler,17,5,2021,Anmsuh,4
.,1,1,2021,Anmsuh,3
Ingen bemærkninger,18,2,2021,Exuh,7
FUH uden ambulance.,19,3,2021,Exuh,0
112 AMB FUH,11,3,2021,Anmsuh,3
VIA 112. Mindre FUH,19,4,2021,Anmsuh,1
VIA 112. FUH,12,3,2021,Anmsuh,5
Eftersættelse,13,1,2021,Anmsuh,7
FUH - 2 biler.,14,4,2022,Mskduh,1
P-kort udfærdiget,17,2,2022,Exuh,1
P1 kørte i grøften,18,4,2022,Anmsuh,0
P-kort,6,1,2022,Exuh,1
Bil påkørt hæk.,15,3,2022,Anmsuh,0
FUH,3,1,2022,Anmsuh,1
P-kort.,7,1,2022,Exuh,1
P-kort.,7,1,2022,Exuh,3
P-kort,6,1,2022,Exuh,8
Sigtede kørt gal,16,3,2022,Anmsuh,0
Højresvingsulykke,17,1,2022,Anmsuh,3
cykel mod bil,13,3,2022,Exuh,1
Materielt FUH.,14,2,2022,Anmsuh,2
Part,4,1,2022,Anmsuh,1
Intet oplyst,12,2,2022,Anmsuh,7
Via 112: FUH.,13,3,2022,Anmsuh,3
Ved Cirkle K,12,3,2022,Anmsuh,7
FUH-flugt.,10,1,2022,Anmsuh,3
FUH solo-uheld,14,2,2022,Anmsuh,7
VIA112: FUH 2 biler,19,4,2022,Anmsuh,6
VIA 112. FUH,12,3,2022,Anmsuh,2
POLITI FUH.,11,2,2023,Anmsuh,1
Vigepligt.,10,1,2022,Anmsuh,6
P-kort,6,1,2023,Exuh,1
FUH/FLUGT,9,1,2023,Anmsuh,5
FUH FLUGT,9,2,2023,Anmsuh,7
P:KORT,6,1,2023,Exuh,7
FUH/FLUGT,9,1,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,1
VIGEPLIGT,9,1,2023,Anmsuh,8
P-kort,6,1,2023,Exuh,1
FUH/FLUGT,9,1,2023,Anmsuh,3
FUH: Part 1 førte,17,4,2023,Anmsuh,2
Færdselsuheld.,14,1,2023,Mskduh,1
Åbning af bildør.,17,3,2023,Anmsuh,7
VIGEPLIGT,9,1,2023,Anmsuh,4
P-kort.,7,1,2023,Exuh,1
FUH/FLUGT,9,1,2023,Anmsuh,7
Påkørsel bagfra.,16,2,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,7
VIGEPLIGT,9,1,2023,Anmsuh,8
"Part 1,",7,2,2023,Anmsuh,3
Påkørsel af bil.,16,3,2023,Exuh,7
FUH sprit,9,2,2023,Anmsuh,1
P-kort.,7,1,2023,Anmsuh,1
FUH/FLUGT,9,1,2023,Anmsuh,1
FUH - Vigepligt,15,3,2023,Anmsuh,4
FUH/FLUGT,9,1,2023,Anmsuh,7
FUH/FLUGT,9,1,2023,Anmsuh,7
112-BLANKET: FUH.,17,2,2023,Exuh,0
Ingen beskrivelse.,18,2,2023,Anmsuh,2
FUH/FLUGT,9,1,2023,Anmsuh,3
FUH/FLUGT,9,1,2023,Anmsuh,0
FUH m. 2 biler.,15,4,2023,Mskduh,4
FUH / § 53. B11-43.,19,5,2023,Anmsuh,1
P-kort.,7,1,2023,Exuh,0
P-kort:,7,1,2023,Exuh,2
FUH. Bil mod cykel,18,4,2023,Anmsuh,5
Solouheld.,10,1,2023,Anmsuh,0
112: FUH,8,2,2024,Anmsuh,4
FUH/FLUGT,9,1,2023,Anmsuh,7
MAT FUH - 2 biler.,18,5,2024,Anmsuh,2
P-kort optaget,14,2,2024,Exuh,1
P-kort.,7,1,2024,Exuh,1
P-kort.,7,1,2024,Anmsuh,1
Personpåkørsel,14,1,2024,Pskduh,8
VIGEPLIGT/BAKNING,17,1,2024,Anmsuh,6
Højresvingsulykke.,18,1,2024,Pskduh,3
Part 1 førte,12,3,2024,Exuh,1
P-kort,6,1,2024,Exuh,1
P-kort udfærdiget.,18,2,2024,Exuh,0
P-KORT.,7,1,2024,Exuh,1
P-kort.,7,1,2024,Exuh,1
P-kort.,7,1,2024,Exuh,7
112: FUH,8,2,2024,Anmsuh,4
112. AMB FUH. /kbo,18,4,2024,Pskduh,1
112. AMB FUH. /kbo,18,4,2024,Anmsuh,4
U-VENDING FL § 18,17,4,2024,Anmsuh,1
P-kort,6,1,2024,Exuh,0
112. AMB FUH /KBO,17,4,2024,Anmsuh,3
112: FUH,8,2,2024,Anmsuh,4
FUH u/P-skade.,14,2,2024,Mskduh,0
FUH flugt/Vigepligt,19,2,2024,Exuh,5
Pkort.,6,1,2024,Exuh,7
P-kort. Tre biler.,18,3,2025,Anmsuh,1
y,1,1,2025,Anmsuh,1
P-kort.,7,1,2025,Exuh,1
P-KORT:,7,1,2025,Exuh,1
112. AMB FUH.,13,3,2025,Pskduh,3
XX,2,1,2025,Anmsuh,1
P-kort,6,1,2025,Exuh,1
VIA 112: AMB FUH.,17,4,2025,Mskduh,1
FUH flugt.,10,2,2025,Anmsuh,0
P-kort,6,1,2025,Exuh,9
MB999999999999,14,1,2025,Pskduh,4
P-kort.,7,1,2025,Exuh,8
P-kort,6,1,2025,Exuh,7
P-kort.,7,1,2025,Exuh,1
P-kort,6,1,2025,Exuh,7
AMB FUH - to biler,18,5,2025,Exuh,1
MB999999999999,14,1,2025,Pskduh,2
P-kort,6,1,2025,Exuh,1
MB999999999999.,15,1,2025,Pskduh,8
P-kort.,7,1,2025,Exuh,1
bil kørt ind i hus.,19,5,2025,Anmsuh,0
P-kort.,7,1,2025,Exuh,7
P-kort,6,1,2025,Exuh,2
P-kort.,7,1,2025,Exuh,1
112 - AMB-fuh.,14,3,2025,Anmsuh,1
2 biler kørt sammen,19,4,2025,Anmsuh,6
P02 påkørt af P01.,18,4,2025,Exuh,2
XX,2,1,2025,Mskduh,3
P-kort. Se disp.,16,3,2025,Exuh,6
MB999999999999,14,1,2026,Anmsuh,1
MB999999999999,14,1,2026,Anmsuh,5
